date,symbol,action
2026-07-06,UNOMINDA,snapshot_member
2026-07-06,UPL,snapshot_member
2026-07-06,URBANCO,snapshot_member
2026-07-06,USHAMART,snapshot_member
2026-07-06,UTIAMC,snapshot_member
2026-07-06,VIJAYA,snapshot_member
2026-07-06,VMM,snapshot_member
2026-07-06,VOLTAS,snapshot_member
2026-07-06,VTL,snapshot_member
2026-07-06,WAAREEENER,snapshot_member
2026-07-06,WELCORP,snapshot_member
2026-07-06,WELSPUNLIV,snapshot_member
2026-07-06,WHIRLPOOL,snapshot_member
2026-07-06,WOCKPHARMA,snapshot_member
2026-07-06,YESBANK,snapshot_member
2026-07-06,ZEEL,snapshot_member
2026-07-06,ZENSARTECH,snapshot_member
2026-07-06,ZENTEC,snapshot_member
2026-07-06,ZFCVINDIA,snapshot_member
2026-07-06,ZYDUSWELL,snapshot_member
2016-04-29,ADVANTA,remove
2016-04-29,GULFOILLUB,add
2016-04-29,JINDALSAW,remove
2016-04-29,SHK,add
2016-04-29,TCI,remove
2016-04-29,TVTODAY,add
2016-09-30,63MOONS,remove
2016-09-30,AARTIDRUGS,remove
2016-09-30,ABGSHIP,remove
2016-09-30,ABIRLANUVO,add
2016-09-30,ALKEM,add
2016-09-30,APLAPOLLO,add
2016-09-30,ASHIANA,remove
2016-09-30,CARBORUNIV,add
2016-09-30,CASTEXTECH,remove
2016-09-30,CCAVENUE,add
2016-09-30,CEMPRO,add
2016-09-30,CGPOWER,add
2016-09-30,COFFEEDAY,add
2016-09-30,ELECTCAST,remove
2016-09-30,ELGIEQUIP,remove
2016-09-30,EQUITAS,add
2016-09-30,ESSDEE,remove
2016-09-30,GLOBOFFS,remove
2016-09-30,HLVLTD,remove
2016-09-30,HMT,remove
2016-09-30,IDFCFIRSTB,add
2016-09-30,IFBIND,remove
2016-09-30,KIRLOSENG,remove
2016-09-30,KSB,add
2016-09-30,KSK,remove
2016-09-30,LALPATHLAB,add
2016-09-30,LINDEINDIA,add
2016-09-30,MFSL,add
2016-09-30,MINDACORP,remove
2016-09-30,MYSOREBANK,add
2016-09-30,NAVINFLUOR,add
2016-09-30,NH,add
2016-09-30,NILKAMAL,add
2016-09-30,OCL,add
2016-09-30,PARSVNATH,remove
2016-09-30,PEL,remove
2016-09-30,PURVA,remove
2016-09-30,RATNAMANI,remove
2016-09-30,RCOM,add
2016-09-30,RECLTD,add
2016-09-30,RELIGARE,add
2016-09-30,SADBHIN,remove
2016-09-30,SBT,add
2016-09-30,SFCL,add
2016-09-30,STYRENIX,remove
2016-09-30,SUDARCOLOR,remove
2016-09-30,SUPRAJIT,add
2016-09-30,TBZ,remove
2016-09-30,TREEHOUSE,remove
2016-09-30,TTML,remove
2016-09-30,VAIBHAVGBL,remove
2016-09-30,VIYASH,add
2016-10-24,CROMPTON,add
2016-10-24,HAVELLS,remove
2017-01-23,ADVENZYMES,add
2017-01-23,ASAHIINDIA,add
2017-01-23,DISHMAN,remove
2017-01-23,MFSL,remove
2017-01-23,OCL,remove
2017-01-23,RBLBANK,add
2017-01-23,SFCL,remove
2017-01-23,UJJIVAN,add
2017-03-31,ALOKTEXT,remove
2017-03-31,ANDHRAPAP,remove
2017-03-31,APOLLOHOSP,add
2017-03-31,BHARATFORG,add
2017-03-31,BRFL,remove
2017-03-31,BRIGADE,remove
2017-03-31,CASTROLIND,add
2017-03-31,CROMPTON,add
2017-03-31,DBL,add
2017-03-31,DYNAMATECH,remove
2017-03-31,ENDURANCE,add
2017-03-31,FLFL,remove
2017-03-31,FMGOETZE,add
2017-03-31,FRETAIL,add
2017-03-31,GHCL,add
2017-03-31,GNFC,add
2017-03-31,GUJALKALI,add
2017-03-31,HAVELLS,remove
2017-03-31,INGERRAND,remove
2017-03-31,JPINFRATEC,remove
2017-03-31,JPPOWER,remove
2017-03-31,JSWHL,remove
2017-03-31,KNRCON,add
2017-03-31,KSB,remove
2017-03-31,LAOPALA,remove
2017-03-31,LINDEINDIA,remove
2017-03-31,LITL,remove
2017-03-31,LTM,add
2017-03-31,LTTS,add
2017-03-31,MAHLIFE,remove
2017-03-31,MAXINDIA,add
2017-03-31,MAYURUNIQ,remove
2017-03-31,MGL,add
2017-03-31,MINDACORP,add
2017-03-31,MYSOREBANK,remove
2017-03-31,NAVA,add
2017-03-31,NAVNETEDUL,add
2017-03-31,PARAGMILK,add
2017-03-31,PETRONET,remove
2017-03-31,QUESS,add
2017-03-31,RATNAMANI,add
2017-03-31,RECLTD,remove
2017-03-31,SBBJ,remove
2017-03-31,SBT,remove
2017-03-31,SHILPI,add
2017-03-31,SHOPERSTOP,remove
2017-03-31,SIMPLEXINF,remove
2017-03-31,SINTEX,remove
2017-03-31,SITINET,remove
2017-03-31,STLTECH,add
2017-03-31,SUDARSCHEM,add
2017-03-31,SUPRAJIT,remove
2017-03-31,TATAINVEST,add
2017-03-31,THYROCARE,add
2017-03-31,UNOMINDA,add
2017-03-31,VIYASH,remove
2017-05-26,ABIRLANUVO,remove
2017-05-26,LAURUSLABS,add
2017-05-26,PNBHOUSING,add
2017-05-26,SUNTV,remove
2017-05-26,TUBEINVEST,remove
2017-05-26,VBL,add
2017-06-23,IIFL,remove
2017-06-23,SFL,add
2017-09-29,AMTEKAUTO,remove
2017-09-29,ANANTRAJ,remove
2017-09-29,ASAHIINDIA,remove
2017-09-29,BRFL,add
2017-09-29,BRIGADE,add
2017-09-29,BSE,add
2017-09-29,DHANI,add
2017-09-29,DIVISLAB,add
2017-09-29,FDC,remove
2017-09-29,FLFL,add
2017-09-29,FMGOETZE,remove
2017-09-29,GRINDWELL,remove
2017-09-29,HERITGFOOD,add
2017-09-29,HMVL,remove
2017-09-29,HONAUT,remove
2017-09-29,IFBIND,add
2017-09-29,INGERRAND,add
2017-09-29,ITDC,add
2017-09-29,ITI,add
2017-09-29,JINDALSAW,add
2017-09-29,JMTAUTOLTD,remove
2017-09-29,JPPOWER,add
2017-09-29,JSL,add
2017-09-29,JSLHISAR,add
2017-09-29,KNRCON,remove
2017-09-29,LINDEINDIA,add
2017-09-29,MFSL,add
2017-09-29,MRF,remove
2017-09-29,NFL,add
2017-09-29,NITINFIRE,remove
2017-09-29,ORISSAMINE,remove
2017-09-29,PUNJLLOYD,remove
2017-09-29,RATNAMANI,remove
2017-09-29,RELAXO,remove
2017-09-29,RELCAPITAL,remove
2017-09-29,RIIL,remove
2017-09-29,ROLTA,remove
2017-09-29,RUCHISOYA,remove
2017-09-29,RUPA,add
2017-09-29,SHOPERSTOP,add
2017-09-29,STCINDIA,remove
2017-09-29,SUPPETRO,add
2017-09-29,SUPRAJIT,add
2017-09-29,TIMETECHNO,add
2017-09-29,TRITURBINE,remove
2017-09-29,UBL,add
2017-09-29,UNITEDBNK,add
2017-09-29,VEEDOL,remove
2017-09-29,VESUVIUS,add
2017-09-29,VSTIND,remove
2017-09-29,WONDERLA,remove
2017-09-29,ZYDUSWELL,remove
2017-10-30,FRETAIL,remove
2017-10-30,HUDCO,add
2017-11-13,AUBANK,add
2017-11-13,RELAXO,add
2017-11-13,SHILPI,remove
2017-11-13,SUNDARMFIN,remove
2017-11-20,GAYAPROJ,remove
2017-11-20,STARCEMENT,add
2018-02-05,CESC,remove
2018-02-05,CHOLAHLDNG,add
2018-02-05,COCHINSHIP,add
2018-02-05,FORTIS,remove
2018-02-05,HATSUN,add
2018-02-05,POLARIS,remove
2018-02-05,RELCAPITAL,add
2018-02-05,STAR,remove
2018-04-02,ADANIENT,remove
2018-04-02,AHLUCONT,remove
2018-04-02,APARINDS,remove
2018-04-02,ASAHIINDIA,add
2018-04-02,ASTRAZEN,remove
2018-04-02,CDSL,add
2018-04-02,CORPBANK,remove
2018-04-02,DALMIABHA,remove
2018-04-02,DCAL,add
2018-04-02,DHANUKA,remove
2018-04-02,DIXON,add
2018-04-02,EPL,remove
2018-04-02,ERIS,add
2018-04-02,GLAXO,add
2018-04-02,GLENMARK,add
2018-04-02,GODREJAGRO,add
